epoch,train_acc,val_acc,train_loss,val_loss,val_f1
1,0.2024866785079929,0.2772346368715084,2.5873486412808666,2.3341815931171013,0.2164426454329979
2,0.38645013955848767,0.4099162011173184,1.9798619316423403,1.9212718023268205,0.38621540402333865
3,0.5079928952042628,0.5370111731843575,1.5956049618518948,1.489383247311555,0.5233698760262053
4,0.6207815275310835,0.672486033519553,1.217909314946395,1.0055791908802267,0.6782956525006032
5,0.7246891651865008,0.8337988826815642,0.8872769587961317,0.5727398381802623,0.833723930888754
6,0.8313879725957879,0.9490223463687151,0.5425365063418776,0.21997964577801402,0.9501313267776202
7,0.920832276072063,0.9853351955307262,0.27871233211256957,0.0866985587226279,0.9857863458535485
8,0.9742451154529307,1.0,0.12584800840150098,0.024753233480303647,1.0
9,0.9925145902055316,1.0,0.06135029395849866,0.011842509057872288,1.0
10,0.9951788886069526,1.0,0.0447160240940502,0.011147464607327177,1.0
