epoch,train_acc,val_acc,train_loss,val_loss,val_f1
1,0.34293326566861204,0.4036312849162011,2.1947413025335503,1.8462582693419642,0.38727998567084987
2,0.5058360822126364,0.5768156424581006,1.6285298999812028,1.3222644748634467,0.5624524472785085
3,0.5976909413854352,0.6655027932960894,1.29834722156786,1.0480263316431524,0.6682235210755263
4,0.6866277594519158,0.7541899441340782,1.0147938968203025,0.7464553161040365,0.7582476091241308
5,0.7576757168231414,0.8372905027932961,0.7639583877668983,0.5232560539711787,0.8392694122035488
6,0.8285968028419183,0.9245810055865922,0.557552949013791,0.29100201491204053,0.9262660063714151
7,0.8782035016493276,0.9420391061452514,0.3906168428298575,0.20680579164341176,0.944760141690376
8,0.9188023344328851,0.9839385474860335,0.2764292433612149,0.11226676692717902,0.9839864271603123
9,0.9511545293072824,0.9888268156424581,0.19560969812075701,0.09534071413956208,0.9893597594608934
10,0.965237249429079,0.994413407821229,0.16256997332570516,0.0834968101295679,0.9944148209925492
