epoch,train_acc,val_acc,train_loss,val_loss,val_f1
1,0.40484648566353715,0.4762569832402235,1.930873440292637,1.608822222528511,0.4763661763821217
2,0.5825932504440497,0.6026536312849162,1.3705342637799893,1.2351175877968026,0.5935389529183543
3,0.6714031971580817,0.7227653631284916,1.0485514283210486,0.836938754639812,0.7286728501464999
4,0.7602131438721137,0.8009776536312849,0.7751215390976357,0.5989162928565255,0.8022562541105911
5,0.8256787617356001,0.854050279329609,0.5614044633016947,0.44256821195673013,0.8550751606652112
6,0.8865770109109363,0.9518156424581006,0.36938140547553827,0.17468972441703914,0.9537329476171326
7,0.9233697031210353,0.9615921787709497,0.24195679283420377,0.13554483266058248,0.9633064975855798
8,0.9602892666835828,0.9888268156424581,0.14779117564294764,0.06495027419169272,0.9896838817328202
9,0.97614818573966,0.9951117318435754,0.09788369935074907,0.04218989861452713,0.9954452138379795
10,0.9824917533620908,0.9965083798882681,0.07618400005614719,0.03811973570091598,0.9966636204439612
