epoch,train_acc,val_acc,train_loss,val_loss,val_f1
1,0.41892920578533366,0.4860335195530726,1.9023307291150426,1.549636761569444,0.466110686585618
2,0.579167723927937,0.6557262569832403,1.3577775183561278,1.0875479941927522,0.6636402679153603
3,0.6578279624460797,0.6962290502793296,1.0700742830119438,0.862043216408298,0.7003360329722758
4,0.7406749555950266,0.8002793296089385,0.8176705398495443,0.6382516804021164,0.8029570185302886
5,0.8096929713270743,0.8638268156424581,0.5959268120514261,0.444433469262869,0.8682771907524705
6,0.8629789393554935,0.9189944134078212,0.43136468420050467,0.25881771110622576,0.9210719724836809
7,0.9130931235726972,0.9636871508379888,0.27826048894692,0.15451410287918324,0.9640455234682005
8,0.946333417914235,0.9832402234636871,0.18341647901455782,0.08878748323872436,0.9838406422689209
9,0.963207307789901,0.9909217877094972,0.13437792694536874,0.06818409674077727,0.9915286499543553
10,0.9741182441004821,0.9881284916201117,0.10655649119987612,0.06450354632552109,0.9888528809192328
